Transaction_ID,Date,Month,Quarter,Fund_Name,Transaction_Type,Amount_USD,Status,Account_Tier,Region,Processing_Days,Anomaly_Flag,Anomaly_Reason
TXN-00035,2024-09-17,September,Q3,Vanguard 500 Index,Sell,1366664.48,Completed,High Net Worth,Northeast,1,No,
TXN-00036,2024-04-30,April,Q2,T. Rowe Price Equity,Buy,127496.24,Completed,High Net Worth,Southwest,1,No,
TXN-00037,2024-02-11,February,Q1,T. Rowe Price Equity,Transfer Out,3381657.28,Flagged,Institutional,Southeast,3,Yes,Off-hours activity
TXN-00038,2024-05-15,May,Q2,T. Rowe Price Equity,Sell,4652189.83,Pending,Institutional,Midwest,0,No,
TXN-00039,2024-02-07,February,Q1,Vanguard 500 Index,Fee,21708.85,Completed,Retail,Southwest,1,No,
TXN-00040,2024-05-15,May,Q2,Fidelity Growth Fund,Dividend,28856.25,Completed,Retail,Midwest,1,No,
TXN-00041,2024-08-12,August,Q3,PIMCO Total Return,Transfer Out,65255.06,Pending,High Net Worth,Southwest,0,No,
TXN-00042,2024-10-10,October,Q4,BlackRock Bond Fund,Transfer Out,11985.15,Completed,Retail,Midwest,1,No,
TXN-00043,2024-02-24,February,Q1,PIMCO Total Return,Sell,1132085.31,Pending,Institutional,Southwest,0,No,
TXN-00044,2024-06-24,June,Q2,Fidelity Growth Fund,Transfer Out,539686.44,Pending,High Net Worth,West,0,No,
TXN-00045,2024-01-27,January,Q1,Vanguard 500 Index,Transfer Out,117373.88,Flagged,Institutional,Northeast,4,Yes,Unusual frequency
TXN-00046,2024-03-23,March,Q1,T. Rowe Price Equity,Transfer In,268154.07,Flagged,High Net Worth,Northeast,2,Yes,Unusual frequency
TXN-00047,2024-07-08,July,Q3,PIMCO Total Return,Transfer In,304961.41,Completed,Institutional,Southeast,1,No,
TXN-00048,2024-07-05,July,Q3,Vanguard 500 Index,Dividend,35691.02,Completed,Retail,Northeast,1,No,
TXN-00049,2024-10-13,October,Q4,T. Rowe Price Equity,Transfer In,97632.5,Completed,Retail,Southeast,1,No,
TXN-00050,2024-03-31,March,Q1,T. Rowe Price Equity,Buy,4030952.18,Completed,Institutional,West,1,No,
TXN-00051,2024-05-07,May,Q2,BlackRock Bond Fund,Sell,4307106.93,Completed,Institutional,Northeast,1,No,
TXN-00052,2024-04-23,April,Q2,Fidelity Growth Fund,Fee,1192325.38,Flagged,Institutional,Southeast,5,Yes,Unusual frequency
TXN-00053,2024-06-17,June,Q2,BlackRock Bond Fund,Buy,2058424.08,Pending,Institutional,Southwest,0,No,
TXN-00054,2024-10-01,October,Q4,BlackRock Bond Fund,Buy,2944889.7,Completed,Institutional,Southeast,1,No,
TXN-00055,2024-05-15,May,Q2,Vanguard 500 Index,Buy,2238330.03,Flagged,Institutional,Midwest,5,Yes,Amount exceeds threshold
TXN-00056,2024-10-22,October,Q4,Fidelity Growth Fund,Dividend,2647609.71,Completed,Institutional,Northeast,1,No,
TXN-00057,2024-10-02,October,Q4,Fidelity Growth Fund,Dividend,62503.96,Flagged,Retail,Midwest,4,Yes,Amount exceeds threshold
TXN-00058,2024-09-16,September,Q3,BlackRock Bond Fund,Transfer Out,3516321.23,Flagged,Institutional,West,3,Yes,Unusual frequency
TXN-00059,2024-08-03,August,Q3,T. Rowe Price Equity,Transfer Out,636852.26,Completed,High Net Worth,Southwest,1,No,
TXN-00060,2024-10-07,October,Q4,Vanguard 500 Index,Dividend,78683.0,Pending,Retail,West,0,No,
TXN-00061,2024-11-06,November,Q4,BlackRock Bond Fund,Fee,2604752.58,Cancelled,Institutional,Southeast,3,No,
TXN-00062,2024-12-03,December,Q4,Vanguard 500 Index,Dividend,67443.17,Flagged,Retail,Southeast,3,Yes,Unusual frequency
TXN-00063,2024-03-16,March,Q1,Vanguard 500 Index,Buy,4263714.7,Completed,Institutional,Southwest,1,No,
TXN-00064,2024-02-07,February,Q1,T. Rowe Price Equity,Fee,2058299.03,Completed,Institutional,West,1,No,
TXN-00065,2024-03-16,March,Q1,Vanguard 500 Index,Buy,80508.93,Flagged,Retail,Southeast,2,Yes,Mismatched account tier
TXN-00066,2024-10-12,October,Q4,Fidelity Growth Fund,Buy,66923.98,Cancelled,Retail,West,4,No,
TXN-00067,2024-08-14,August,Q3,PIMCO Total Return,Transfer Out,1799555.8,Flagged,High Net Worth,West,5,Yes,Mismatched account tier
TXN-00068,2024-05-12,May,Q2,Fidelity Growth Fund,Transfer Out,1272159.45,Pending,High Net Worth,West,0,No,
TXN-00069,2024-05-20,May,Q2,T. Rowe Price Equity,Buy,33916.83,Pending,Retail,Midwest,0,No,
TXN-00070,2024-10-03,October,Q4,Vanguard 500 Index,Sell,69548.01,Completed,Retail,West,1,No,
TXN-00071,2024-12-27,December,Q4,Fidelity Growth Fund,Buy,2758794.59,Flagged,Institutional,Midwest,2,Yes,Mismatched account tier
TXN-00072,2024-04-15,April,Q2,T. Rowe Price Equity,Fee,980110.48,Completed,High Net Worth,West,1,No,
TXN-00073,2024-06-29,June,Q2,BlackRock Bond Fund,Fee,1609742.93,Flagged,High Net Worth,Southwest,5,Yes,Unusual frequency
TXN-00074,2024-04-22,April,Q2,BlackRock Bond Fund,Fee,33944.89,Cancelled,Retail,West,5,No,
TXN-00075,2024-03-25,March,Q1,T. Rowe Price Equity,Sell,2865520.72,Completed,Institutional,Southwest,1,No,
TXN-00076,2024-01-14,January,Q1,Vanguard 500 Index,Transfer Out,18582.04,Flagged,Retail,West,5,Yes,Off-hours activity
TXN-00077,2024-06-16,June,Q2,Fidelity Growth Fund,Fee,1463457.42,Flagged,Institutional,West,4,Yes,Mismatched account tier
TXN-00078,2024-02-11,February,Q1,T. Rowe Price Equity,Buy,3285706.06,Completed,Institutional,Southeast,1,No,
TXN-00079,2024-11-29,November,Q4,Vanguard 500 Index,Buy,62322.9,Completed,Retail,Northeast,1,No,
TXN-00080,2024-05-02,May,Q2,Fidelity Growth Fund,Fee,956816.27,Completed,High Net Worth,Southeast,1,No,
TXN-00081,2024-05-11,May,Q2,BlackRock Bond Fund,Sell,11255.83,Completed,Retail,Midwest,1,No,
TXN-00082,2024-01-14,January,Q1,BlackRock Bond Fund,Transfer In,472382.74,Flagged,Institutional,Southeast,2,Yes,Unusual frequency
TXN-00083,2024-12-22,December,Q4,BlackRock Bond Fund,Transfer Out,727047.34,Completed,High Net Worth,Northeast,1,No,
TXN-00084,2024-08-07,August,Q3,BlackRock Bond Fund,Buy,82321.93,Flagged,Retail,West,5,Yes,Amount exceeds threshold
TXN-00085,2024-07-04,July,Q3,T. Rowe Price Equity,Transfer Out,3695596.99,Completed,Institutional,Southeast,1,No,
TXN-00086,2024-11-29,November,Q4,BlackRock Bond Fund,Transfer In,4146099.53,Cancelled,Institutional,West,4,No,
TXN-00087,2024-06-14,June,Q2,Fidelity Growth Fund,Buy,3777333.78,Pending,Institutional,Southeast,0,No,
TXN-00088,2024-10-18,October,Q4,PIMCO Total Return,Transfer Out,2522101.87,Flagged,Institutional,Northeast,3,Yes,Off-hours activity
TXN-00089,2024-09-06,September,Q3,Fidelity Growth Fund,Dividend,4413567.9,Pending,Institutional,Midwest,0,No,
TXN-00090,2024-12-25,December,Q4,BlackRock Bond Fund,Transfer In,216945.28,Completed,High Net Worth,Southeast,1,No,
TXN-00091,2024-07-27,July,Q3,T. Rowe Price Equity,Transfer In,2296055.29,Completed,Institutional,West,1,No,
TXN-00092,2024-01-09,January,Q1,Vanguard 500 Index,Dividend,1600409.55,Completed,Institutional,Southeast,1,No,
TXN-00093,2024-10-24,October,Q4,BlackRock Bond Fund,Fee,1720877.36,Flagged,Institutional,Southwest,4,Yes,Mismatched account tier
TXN-00094,2024-06-05,June,Q2,BlackRock Bond Fund,Sell,12395.7,Completed,Retail,Midwest,1,No,
TXN-00095,2024-10-01,October,Q4,Fidelity Growth Fund,Sell,3650466.51,Completed,Institutional,Midwest,1,No,
TXN-00096,2024-09-25,September,Q3,PIMCO Total Return,Dividend,23134.57,Completed,Retail,Midwest,1,No,
TXN-00097,2024-04-01,April,Q2,BlackRock Bond Fund,Buy,4874045.16,Completed,Institutional,Northeast,1,No,
TXN-00098,2024-10-10,October,Q4,BlackRock Bond Fund,Transfer Out,4376326.7,Completed,Institutional,Northeast,1,No,
TXN-00099,2024-10-20,October,Q4,BlackRock Bond Fund,Fee,1003381.98,Cancelled,Institutional,Midwest,2,No,
TXN-00100,2024-05-09,May,Q2,T. Rowe Price Equity,Buy,463002.63,Completed,Institutional,West,1,No,
TXN-00101,2024-11-18,November,Q4,Vanguard 500 Index,Sell,216102.77,Completed,High Net Worth,Midwest,1,No,
TXN-00102,2024-05-07,May,Q2,Vanguard 500 Index,Transfer In,1591944.62,Flagged,High Net Worth,Southwest,5,Yes,Unusual frequency
TXN-00103,2024-08-18,August,Q3,T. Rowe Price Equity,Dividend,3143033.87,Flagged,Institutional,Southwest,3,Yes,Amount exceeds threshold
TXN-00104,2024-11-16,November,Q4,Fidelity Growth Fund,Dividend,17794.45,Completed,Retail,Southeast,1,No,
TXN-00105,2024-02-08,February,Q1,Fidelity Growth Fund,Buy,2402571.15,Flagged,Institutional,Southwest,3,Yes,Amount exceeds threshold
TXN-00106,2024-05-27,May,Q2,BlackRock Bond Fund,Transfer Out,92429.15,Cancelled,Retail,Southeast,3,No,
TXN-00107,2024-08-05,August,Q3,Vanguard 500 Index,Transfer In,82749.8,Completed,Retail,Midwest,1,No,
TXN-00108,2024-02-06,February,Q1,Vanguard 500 Index,Sell,1846325.43,Pending,High Net Worth,Southwest,0,No,
TXN-00109,2024-08-12,August,Q3,Vanguard 500 Index,Fee,2552313.67,Pending,Institutional,Midwest,0,No,
TXN-00110,2024-09-09,September,Q3,T. Rowe Price Equity,Buy,3058196.84,Completed,Institutional,Midwest,1,No,
TXN-00111,2024-01-14,January,Q1,Vanguard 500 Index,Sell,297135.2,Completed,Institutional,Southwest,1,No,
TXN-00112,2024-03-30,March,Q1,T. Rowe Price Equity,Transfer In,4985032.83,Cancelled,Institutional,Southeast,5,No,
TXN-00113,2024-11-21,November,Q4,T. Rowe Price Equity,Buy,1733211.13,Cancelled,Institutional,West,2,No,
TXN-00114,2024-03-23,March,Q1,BlackRock Bond Fund,Fee,4086473.57,Cancelled,Institutional,West,2,No,
TXN-00115,2024-08-20,August,Q3,Vanguard 500 Index,Dividend,4853905.16,Pending,Institutional,Northeast,0,No,
TXN-00116,2024-07-25,July,Q3,PIMCO Total Return,Buy,1019154.45,Cancelled,Institutional,Northeast,4,No,
TXN-00117,2024-11-14,November,Q4,T. Rowe Price Equity,Transfer Out,27072.1,Cancelled,Retail,Southeast,3,No,
TXN-00118,2024-05-27,May,Q2,T. Rowe Price Equity,Transfer Out,97328.11,Cancelled,Retail,Northeast,3,No,
TXN-00119,2024-12-29,December,Q4,Fidelity Growth Fund,Dividend,231757.94,Completed,High Net Worth,West,1,No,
TXN-00120,2024-02-28,February,Q1,T. Rowe Price Equity,Buy,2593472.87,Completed,Institutional,Midwest,1,No,
TXN-00121,2024-05-19,May,Q2,T. Rowe Price Equity,Fee,55350.88,Cancelled,Retail,West,5,No,
TXN-00122,2024-04-07,April,Q2,PIMCO Total Return,Transfer In,77381.18,Completed,Retail,Midwest,1,No,
TXN-00123,2024-07-31,July,Q3,BlackRock Bond Fund,Transfer In,72742.07,Pending,Retail,Midwest,0,No,
TXN-00124,2024-10-27,October,Q4,PIMCO Total Return,Transfer Out,54088.77,Cancelled,Retail,West,4,No,
TXN-00125,2024-06-19,June,Q2,PIMCO Total Return,Transfer In,4361048.25,Flagged,Institutional,Midwest,5,Yes,Unusual frequency
TXN-00126,2024-04-29,April,Q2,T. Rowe Price Equity,Buy,1991785.89,Flagged,Institutional,West,5,Yes,Unusual frequency
TXN-00127,2024-01-19,January,Q1,Fidelity Growth Fund,Transfer In,10421.31,Flagged,Retail,West,2,Yes,Mismatched account tier
TXN-00128,2024-03-14,March,Q1,T. Rowe Price Equity,Transfer Out,78261.77,Completed,Retail,West,1,No,
TXN-00129,2024-05-15,May,Q2,BlackRock Bond Fund,Transfer In,85307.96,Flagged,Retail,Midwest,4,Yes,Mismatched account tier
TXN-00130,2024-11-16,November,Q4,T. Rowe Price Equity,Transfer In,507801.97,Completed,High Net Worth,Northeast,1,No,
TXN-00131,2024-12-16,December,Q4,BlackRock Bond Fund,Sell,3825811.5,Completed,Institutional,Northeast,1,No,
TXN-00132,2024-12-26,December,Q4,Vanguard 500 Index,Fee,325355.75,Completed,Institutional,Northeast,1,No,
TXN-00133,2024-01-29,January,Q1,BlackRock Bond Fund,Dividend,1296567.42,Flagged,Institutional,Southeast,3,Yes,Mismatched account tier
TXN-00134,2024-03-28,March,Q1,Fidelity Growth Fund,Buy,1020451.14,Flagged,High Net Worth,Southeast,3,Yes,Unusual frequency
TXN-00135,2024-08-24,August,Q3,BlackRock Bond Fund,Fee,90170.34,Pending,Retail,West,0,No,
TXN-00136,2024-12-12,December,Q4,PIMCO Total Return,Sell,4939493.31,Completed,Institutional,Midwest,1,No,
TXN-00137,2024-06-02,June,Q2,T. Rowe Price Equity,Transfer Out,1076163.3,Pending,Institutional,Midwest,0,No,
TXN-00138,2024-07-15,July,Q3,T. Rowe Price Equity,Buy,1858899.87,Completed,Institutional,Southwest,1,No,
TXN-00139,2024-05-31,May,Q2,BlackRock Bond Fund,Buy,2873052.18,Flagged,Institutional,Northeast,5,Yes,Amount exceeds threshold
TXN-00140,2024-05-26,May,Q2,Fidelity Growth Fund,Transfer In,62278.67,Flagged,Retail,Southeast,2,Yes,Unusual frequency
TXN-00141,2024-11-17,November,Q4,Vanguard 500 Index,Dividend,36803.69,Cancelled,Retail,Southwest,3,No,
TXN-00142,2024-02-16,February,Q1,BlackRock Bond Fund,Dividend,13649.9,Flagged,Retail,Southeast,4,Yes,Off-hours activity
TXN-00143,2024-03-25,March,Q1,BlackRock Bond Fund,Fee,2394823.81,Pending,Institutional,Northeast,0,No,
TXN-00144,2024-02-08,February,Q1,Fidelity Growth Fund,Sell,226090.61,Flagged,High Net Worth,Midwest,2,Yes,Mismatched account tier
TXN-00145,2024-05-15,May,Q2,PIMCO Total Return,Buy,2964344.45,Cancelled,Institutional,Midwest,4,No,
TXN-00146,2024-02-25,February,Q1,Fidelity Growth Fund,Fee,689612.25,Completed,High Net Worth,Southwest,1,No,
TXN-00147,2024-11-08,November,Q4,Fidelity Growth Fund,Transfer Out,3281273.29,Completed,Institutional,Midwest,1,No,
TXN-00148,2024-02-29,February,Q1,Fidelity Growth Fund,Buy,668990.36,Completed,Institutional,West,1,No,
TXN-00149,2024-04-30,April,Q2,PIMCO Total Return,Sell,3385382.47,Flagged,Institutional,Midwest,3,Yes,Mismatched account tier
TXN-00150,2024-07-31,July,Q3,Vanguard 500 Index,Fee,3482375.25,Flagged,Institutional,Northeast,5,Yes,Unusual frequency
TXN-00151,2024-08-15,August,Q3,Fidelity Growth Fund,Dividend,4518311.44,Completed,Institutional,Southwest,1,No,
TXN-00152,2024-11-26,November,Q4,BlackRock Bond Fund,Buy,4844213.69,Flagged,Institutional,Southeast,2,Yes,Mismatched account tier
TXN-00153,2024-12-05,December,Q4,Fidelity Growth Fund,Transfer Out,24735.11,Completed,Retail,Midwest,1,No,
TXN-00154,2024-03-05,March,Q1,PIMCO Total Return,Sell,1193447.01,Completed,High Net Worth,Southeast,1,No,
TXN-00155,2024-04-29,April,Q2,BlackRock Bond Fund,Sell,4938883.79,Completed,Institutional,Southeast,1,No,
TXN-00156,2024-10-03,October,Q4,BlackRock Bond Fund,Sell,1978.6,Completed,Retail,Southeast,1,No,
TXN-00157,2024-05-01,May,Q2,PIMCO Total Return,Dividend,5713.7,Completed,Retail,Midwest,1,No,
TXN-00158,2024-08-03,August,Q3,PIMCO Total Return,Buy,3912283.49,Completed,Institutional,West,1,No,
TXN-00159,2024-09-19,September,Q3,PIMCO Total Return,Buy,1893560.5,Cancelled,High Net Worth,Southeast,2,No,
TXN-00160,2024-12-03,December,Q4,PIMCO Total Return,Dividend,99859.38,Cancelled,Retail,Northeast,5,No,
TXN-00161,2024-08-06,August,Q3,Vanguard 500 Index,Fee,32550.13,Cancelled,Retail,Northeast,3,No,
TXN-00162,2024-02-03,February,Q1,Fidelity Growth Fund,Dividend,2699728.5,Flagged,Institutional,Southwest,5,Yes,Mismatched account tier
TXN-00163,2024-02-20,February,Q1,Vanguard 500 Index,Transfer Out,4451646.01,Completed,Institutional,West,1,No,
TXN-00164,2024-07-30,July,Q3,BlackRock Bond Fund,Fee,1631486.91,Flagged,Institutional,Northeast,4,Yes,Off-hours activity
TXN-00165,2024-07-10,July,Q3,Fidelity Growth Fund,Transfer Out,83261.3,Cancelled,Retail,Northeast,2,No,
TXN-00166,2024-08-09,August,Q3,Vanguard 500 Index,Transfer Out,6468.11,Flagged,Retail,Southwest,2,Yes,Off-hours activity
TXN-00167,2024-07-29,July,Q3,BlackRock Bond Fund,Transfer Out,60240.8,Flagged,Retail,Midwest,2,Yes,Off-hours activity
TXN-00168,2024-10-22,October,Q4,PIMCO Total Return,Sell,4251646.76,Completed,Institutional,Southeast,1,No,
TXN-00169,2024-06-28,June,Q2,PIMCO Total Return,Dividend,1208179.56,Completed,Institutional,Southwest,1,No,
TXN-00170,2024-08-07,August,Q3,PIMCO Total Return,Transfer In,106458.7,Completed,High Net Worth,Midwest,1,No,
TXN-00171,2024-05-19,May,Q2,BlackRock Bond Fund,Dividend,87051.34,Flagged,Retail,Southeast,2,Yes,Mismatched account tier
TXN-00172,2024-03-13,March,Q1,Vanguard 500 Index,Buy,2322864.37,Completed,Institutional,West,1,No,
TXN-00173,2024-03-21,March,Q1,BlackRock Bond Fund,Dividend,215666.23,Flagged,High Net Worth,Southwest,3,Yes,Amount exceeds threshold
TXN-00174,2024-03-21,March,Q1,PIMCO Total Return,Buy,3343499.59,Completed,Institutional,West,1,No,
TXN-00175,2024-09-05,September,Q3,PIMCO Total Return,Fee,3799221.4,Flagged,Institutional,Southeast,4,Yes,Amount exceeds threshold
TXN-00176,2024-08-08,August,Q3,Vanguard 500 Index,Dividend,138563.86,Cancelled,High Net Worth,Midwest,5,No,
TXN-00177,2024-11-02,November,Q4,Vanguard 500 Index,Buy,3860012.68,Completed,Institutional,Southeast,1,No,
TXN-00178,2024-05-10,May,Q2,BlackRock Bond Fund,Dividend,74827.91,Completed,Retail,West,1,No,
TXN-00179,2024-03-30,March,Q1,Fidelity Growth Fund,Fee,1675040.69,Completed,High Net Worth,Southwest,1,No,
TXN-00180,2024-06-30,June,Q2,Vanguard 500 Index,Fee,2352795.83,Completed,Institutional,Northeast,1,No,
TXN-00181,2024-02-09,February,Q1,BlackRock Bond Fund,Transfer In,1433522.98,Flagged,High Net Worth,West,4,Yes,Mismatched account tier
TXN-00182,2024-02-28,February,Q1,T. Rowe Price Equity,Buy,46279.64,Flagged,Retail,Southwest,2,Yes,Off-hours activity
TXN-00183,2024-08-11,August,Q3,Vanguard 500 Index,Sell,1071726.96,Flagged,High Net Worth,West,4,Yes,Mismatched account tier
TXN-00184,2024-06-22,June,Q2,Fidelity Growth Fund,Dividend,63505.85,Completed,Retail,Southwest,1,No,
TXN-00185,2024-09-28,September,Q3,PIMCO Total Return,Sell,1257717.36,Flagged,Institutional,Southeast,4,Yes,Unusual frequency
TXN-00186,2024-04-11,April,Q2,Fidelity Growth Fund,Transfer In,95153.57,Completed,Retail,Southeast,1,No,
TXN-00187,2024-11-17,November,Q4,T. Rowe Price Equity,Fee,680256.07,Cancelled,High Net Worth,Southwest,4,No,
TXN-00188,2024-03-18,March,Q1,T. Rowe Price Equity,Buy,4002015.43,Cancelled,Institutional,Midwest,2,No,
TXN-00189,2024-06-29,June,Q2,PIMCO Total Return,Buy,284275.5,Pending,Institutional,West,0,No,
TXN-00190,2024-07-07,July,Q3,BlackRock Bond Fund,Buy,1038782.24,Completed,High Net Worth,Southwest,1,No,
TXN-00191,2024-08-24,August,Q3,PIMCO Total Return,Transfer In,3294003.53,Completed,Institutional,Southwest,1,No,
TXN-00192,2024-06-13,June,Q2,PIMCO Total Return,Fee,10798.44,Completed,Retail,West,1,No,
TXN-00193,2024-06-24,June,Q2,Vanguard 500 Index,Transfer In,70908.36,Completed,Retail,Southeast,1,No,
TXN-00194,2024-08-12,August,Q3,PIMCO Total Return,Transfer In,4597890.27,Completed,Institutional,Midwest,1,No,
TXN-00195,2024-07-17,July,Q3,T. Rowe Price Equity,Dividend,1715484.7,Completed,Institutional,Northeast,1,No,
TXN-00196,2024-10-12,October,Q4,T. Rowe Price Equity,Dividend,700055.97,Pending,High Net Worth,Southeast,0,No,
TXN-00197,2024-10-25,October,Q4,Fidelity Growth Fund,Dividend,3015702.02,Pending,Institutional,Southeast,0,No,
TXN-00198,2024-02-13,February,Q1,BlackRock Bond Fund,Transfer In,3383570.36,Flagged,Institutional,Southeast,5,Yes,Amount exceeds threshold
TXN-00199,2024-09-17,September,Q3,BlackRock Bond Fund,Buy,4760729.64,Flagged,Institutional,Southeast,5,Yes,Off-hours activity
TXN-00200,2024-04-08,April,Q2,Fidelity Growth Fund,Sell,84520.62,Completed,Retail,Midwest,1,No,
TXN-00201,2024-02-21,February,Q1,PIMCO Total Return,Transfer In,742140.3,Completed,Institutional,Southwest,1,No,
TXN-00202,2024-07-11,July,Q3,Fidelity Growth Fund,Sell,1456306.85,Completed,High Net Worth,Southeast,1,No,
TXN-00203,2024-01-23,January,Q1,T. Rowe Price Equity,Dividend,1496146.87,Completed,Institutional,Southwest,1,No,
TXN-00204,2024-08-17,August,Q3,Fidelity Growth Fund,Transfer In,4529474.26,Completed,Institutional,West,1,No,
TXN-00205,2024-04-09,April,Q2,BlackRock Bond Fund,Transfer Out,3912807.78,Cancelled,Institutional,Midwest,5,No,
TXN-00206,2024-03-23,March,Q1,Fidelity Growth Fund,Transfer In,3241777.28,Completed,Institutional,Northeast,1,No,
TXN-00207,2024-07-09,July,Q3,PIMCO Total Return,Buy,3839272.47,Completed,Institutional,Northeast,1,No,
TXN-00208,2024-05-19,May,Q2,T. Rowe Price Equity,Transfer In,4737424.99,Completed,Institutional,Northeast,1,No,
TXN-00209,2024-04-23,April,Q2,T. Rowe Price Equity,Dividend,2042624.43,Completed,Institutional,Northeast,1,No,
TXN-00210,2024-07-10,July,Q3,Fidelity Growth Fund,Fee,238118.97,Completed,Institutional,Southeast,1,No,
TXN-00211,2024-02-20,February,Q1,BlackRock Bond Fund,Sell,91780.92,Completed,Retail,Midwest,1,No,
TXN-00212,2024-08-29,August,Q3,Fidelity Growth Fund,Transfer Out,125730.87,Cancelled,Institutional,Southwest,2,No,
TXN-00213,2024-01-10,January,Q1,BlackRock Bond Fund,Sell,1079154.44,Completed,High Net Worth,Southwest,1,No,
TXN-00214,2024-02-26,February,Q1,BlackRock Bond Fund,Sell,24224.73,Pending,Retail,Northeast,0,No,
TXN-00215,2024-11-23,November,Q4,PIMCO Total Return,Fee,59875.53,Completed,Retail,West,1,No,
TXN-00216,2024-01-09,January,Q1,PIMCO Total Return,Transfer In,43209.27,Completed,Retail,Midwest,1,No,
TXN-00217,2024-11-10,November,Q4,BlackRock Bond Fund,Sell,52586.71,Flagged,Retail,Northeast,2,Yes,Off-hours activity
TXN-00218,2024-09-26,September,Q3,PIMCO Total Return,Transfer In,313318.68,Completed,Institutional,West,1,No,
